symbol,year,close,ret,vol,maxdd,divs,div_yield,momentum,eps,price_date,return_basis,dividend_unit,source
4011,2019,13.72,0.057285,0.21119,-0.22049,0.0,0.0,0.035366,,,,,
4011,2020,16.3218,0.195266,0.474715,-0.410317,0.0,0.0,0.225728,,,,,
4011,2021,19.3982,0.217413,0.347639,-0.361854,0.0,0.0,0.219887,,,,,
4011,2022,11.865,-0.395998,0.277169,-0.445126,0.25,1.2727,-0.401756,0.59,,,,
4011,2023,13.9321,0.140929,0.238735,-0.247134,0.3,2.4568,0.106091,0.54,,,,
4011,2024,13.76,-0.01374,0.299478,-0.283784,0.3,2.1503,-0.026068,0.2,,,,
4011,2025,11.4,-0.189189,0.280932,-0.223361,0.0,0.0,-0.191489,-0.73,,,,
4011,2026,10.53,-0.1,0.2484,-0.151191,0.0,0.0,-0.211826,,,,,
4012,2019,2.4741,-0.141732,0.595792,-0.275986,0.0,0.0,,,,,,
4012,2020,4.6386,0.879151,0.394606,-0.188647,0.1688,6.8365,0.816513,,,,,
4012,2021,3.8462,-0.130689,0.301275,-0.344312,0.0563,1.2714,-0.267534,,,,,
4012,2022,3.138,-0.17295,0.319602,-0.414793,0.15,3.9533,-0.253926,0.13,,,,
4012,2023,4.0411,0.298079,0.349523,-0.271603,0.1625,5.2198,0.257829,0.19,,,,
4012,2024,3.8195,-0.042578,0.279759,-0.231679,0.19,4.7626,-0.021443,0.21,,,,
4012,2025,3.183,-0.172502,0.219711,-0.235025,0.2,5.1995,-0.176351,0.25,,,,
4012,2026,3.51,0.099479,0.228914,-0.137143,0.21,6.5781,-0.009003,,,,,
4013,2020,98.8785,1.015851,0.326769,-0.086207,1.5,3.0581,,,,,,
4013,2021,148.9695,0.506591,0.219593,-0.178938,2.7,2.7306,0.423036,,,,,
4013,2022,206.7639,0.400106,0.284684,-0.174757,3.25,2.2007,0.322415,4.72,,,,
4013,2023,270.4317,0.29501,0.274665,-0.258859,4.1,1.9634,0.22778,5.85,,,,
4013,2024,271.2891,-0.011449,0.233796,-0.191024,4.69,1.709,-0.036196,6.62,,,,
4013,2025,253.0204,-0.077864,0.233662,-0.217827,4.75,1.7311,-0.105616,6.86,,,,
4013,2026,232.9,-0.079521,0.230539,-0.204829,3.65,1.4426,-0.111371,,,,,
4020,2015,8.6883,-0.299487,0.377784,-0.545117,0.4313,3.4776,-0.41046,,,,,
4020,2016,10.436,0.19337,0.416014,-0.347168,0.4313,4.9322,0.827991,,,,,
4020,2017,9.3666,-0.12257,0.220554,-0.287095,0.4313,4.0405,-0.059395,,,,,
4020,2018,10.5242,0.110711,0.345999,-0.283966,0.4313,4.5521,0.161943,,,,,
4020,2019,11.7664,0.125412,0.202035,-0.159091,0.0,0.0,0.062305,,,,,
4020,2020,13.0431,0.110132,0.401294,-0.289009,0.0,0.0,0.08,,,,,
4020,2021,17.5116,0.371622,0.328243,-0.274773,0.0,0.0,0.346154,,,,,
4020,2022,11.42,-0.352328,0.323645,-0.501893,0.0,0.0,-0.359225,0.2933,,,,
4020,2023,15.94,0.388502,0.235013,-0.178273,0.0,0.0,0.279294,0.18,,,,
4020,2024,25.3,0.567534,0.386666,-0.250618,0.0,0.0,0.385542,0.57,,,,
4020,2025,12.89,-0.487475,0.341811,-0.566197,0.0,0.0,-0.517228,0.79,,,,
4020,2026,15.39,0.193023,0.317323,-0.176,0.0,0.0,-0.03511,,,,,
4030,2015,12.6836,0.362707,0.408653,-0.45417,0.4267,4.584,0.245294,,,,,
4030,2016,12.5543,-0.031229,0.344299,-0.384289,1.0667,8.2311,0.298159,,,,,
4030,2017,9.6931,-0.24016,0.210906,-0.348709,1.0667,8.3616,-0.155496,,,,,
4030,2018,10.7767,0.122479,0.26059,-0.126074,0.64,6.6661,0.191202,,,,,
4030,2019,13.8015,0.286455,0.222687,-0.236145,0.8533,7.954,0.414037,,,,,
4030,2020,14.7682,0.091884,0.313315,-0.279412,0.8533,6.3091,0.175875,,,,,
4030,2021,12.4552,-0.149278,0.105782,-0.165511,0.8533,5.8285,-0.137477,,,,,
4030,2022,14.1536,0.136364,0.259352,-0.360465,0.0,0.0,0.109023,1.128,,,,
4030,2023,16.2304,0.140931,0.226228,-0.129568,0.4,2.8118,0.214672,1.752,,,,
4030,2024,19.6482,0.208385,0.201835,-0.133333,0.44,2.706,0.152084,2.35,,,,
4030,2025,28.1201,0.43392,0.280966,-0.136364,0.8,4.0794,0.262236,2.63,,,,
4030,2026,35.22,0.249039,0.327033,-0.164047,1.0,3.5464,0.284397,,,,,
4031,2015,34.0873,-0.049349,0.184632,-0.055498,0.0,0.0,,,,,,
4031,2016,51.9373,0.527028,0.376189,-0.261014,1.81,5.3216,0.999879,,,,,
4031,2017,33.064,-0.360975,0.225065,-0.41668,3.25,6.2812,-0.23664,,,,,
4031,2018,27.4009,-0.164901,0.170616,-0.217206,1.95,5.943,-0.100308,,,,,
4031,2019,33.0362,0.209576,0.174417,-0.158576,1.8,6.5905,0.205661,,,,,
4031,2020,30.2126,-0.10585,0.350607,-0.446808,0.0,0.0,-0.122951,,,,,
4031,2021,27.8126,-0.093558,0.235223,-0.245211,0.0,0.0,-0.049839,,,,,
4031,2022,20.5559,-0.263406,0.254817,-0.387697,0.0,0.0,-0.357647,-1.3,,,,
4031,2023,34.0245,0.652194,0.300297,-0.304687,0.0,0.0,0.626913,1.12,,,,
4031,2024,49.0276,0.434995,0.391463,-0.227119,1.0,2.9269,0.247672,1.74,,,,
4031,2025,36.3,-0.255228,0.275416,-0.344015,2.0,4.1034,-0.294134,2.15,,,,
4031,2026,27.18,-0.25575,0.265413,-0.319261,0.0,0.0,-0.402721,,,,,
4040,2015,14.5967,-0.248805,0.405704,-0.449045,1.25,6.4329,-0.350733,,,,,
4040,2016,13.7426,-0.062429,0.423365,-0.435273,0.5,3.4112,0.632751,,,,,
4040,2017,15.6836,0.0739,0.207133,-0.169329,1.0,6.8473,0.122092,,,,,
4040,2018,13.96,-0.138679,0.21342,-0.271548,0.5,3.085,-0.074385,,,,,
4040,2019,17.98,0.286123,0.262549,-0.24026,0.0,0.0,0.257343,,,,,
4040,2020,17.94,-0.00444,0.42013,-0.436159,0.0,0.0,-0.052798,,,,,
4040,2021,20.14,0.141723,0.354498,-0.331034,0.0,0.0,0.153494,,,,,
4040,2022,15.94,-0.204591,0.304098,-0.40898,0.0,0.0,-0.274795,-0.73,,,,
4040,2023,20.74,0.288199,0.258254,-0.228628,0.0,0.0,0.22,-0.28,,,,
4040,2024,20.44,0.008885,0.325646,-0.268953,0.0,0.0,-0.028517,-0.08,,,,
